atencioso,adjetivo
agradavel,adjetivo
adoravel,adjetivo
amavel,adjetivo
afavel,adjetivo
amigo,adjetivo
amoroso,adjetivo
autentico,adjetivo
apaixonado,adjetivo
animado,adjetivo
alegre,adjetivo
amigavel,adjetivo
amistoso,adjetivo
afetivo,adjetivo
afetuoso,adjetivo
acolhedor,adjetivo
aprazivel,adjetivo
atraente,adjetivo
atrativo,adjetivo
audaz,adjetivo
aventureiro,adjetivo
arrojado,adjetivo
auspicioso,adjetivo
aplicado,adjetivo
altruista,adjetivo
assertivo,adjetivo
atento,adjetivo
agil,adjetivo
apto,adjetivo
atilado,adjetivo
astuto,adjetivo
arguto,adjetivo
ajuizado,adjetivo
assombroso,adjetivo
admiravel,adjetivo
airoso,adjetivo
adonis,adjetivo
afortunado,adjetivo
acautelado,adjetivo
angelical,adjetivo
aberto,adjetivo
acessivel,adjetivo
bom,adjetivo
bondoso,adjetivo
bonito,adjetivo
belo,adjetivo
bem-educado,adjetivo
bem-humorado,adjetivo
bem-disposto,adjetivo
bacana,adjetivo
bendito,adjetivo
batalhador,adjetivo
baseado,adjetivo
benemerito,adjetivo
benfeitor,adjetivo
benevolo,adjetivo
benevolente,adjetivo
brilhante,adjetivo
brioso,adjetivo
brincalhao,adjetivo
bombastico,adjetivo
beleza,adjetivo
beldade,adjetivo
bonachao,adjetivo
bonacheirao,adjetivo
barra-limpa,adjetivo
benefico,adjetivo
benigno,adjetivo
benfazejo,adjetivo
benquisto,adjetivo
bem-parecido,adjetivo
bem-encarado,adjetivo
bem-intencionado,adjetivo
bem-comportado,adjetivo
bem-apessoado,adjetivo
bem-aventurado,adjetivo
bem-afortunado,adjetivo
bem-amado,adjetivo
bem-querente,adjetivo
bem-ditoso,adjetivo
bem-criado,adjetivo
bem-dotado,adjetivo
bem-posto,adjetivo
bem-visto,adjetivo
calmo,adjetivo
caloroso,adjetivo
camarada,adjetivo
candido,adjetivo
capaz,adjetivo
caridoso,adjetivo
carinhoso,adjetivo
carismatico,adjetivo
caritativo,adjetivo
castico,adjetivo
cativante,adjetivo
cauteloso,adjetivo
cavalheiro,adjetivo
celestial,adjetivo
centrado,adjetivo
charmoso,adjetivo
cheiroso,adjetivo
chique,adjetivo
chistoso,adjetivo
ciente,adjetivo
circunspecto,adjetivo
civico,adjetivo
civil,adjetivo
civilizado,adjetivo
clarividente,adjetivo
clemente,adjetivo
coerente,adjetivo
colaborador,adjetivo
colega,adjetivo
comedido,adjetivo
